City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,34,10,33,0.4,9,77,55,7
银川,61,32,69,0.63,19,112,73,22
营口,97,70,141,1.73,37,157,119,21
鹰潭,64,27,75,0.32,5,167,108,20
义乌,66,13,33,0.3,20,140,118,5
宜兴,92,50,132,0.0,25,178,118,12
益阳,68,33,78,0.92,11,173,93,5
永州,60,37,68,0.44,22,128,80,9
岳阳,78,41,96,0.8,11,181,115,11
玉林,35,21,34,0.9,9,76,46,11
榆林,62,26,71,0.93,36,81,75,18
运城,80,22,59,0.52,6,161,134,8
云浮,33,16,32,0.77,18,53,27,5
玉树州,41,3,12,0.3,3,111,81,7
玉溪,59,29,65,0.5,8,134,86,7
枣庄,73,25,71,0.5,17,177,121,9
张家港,55,19,57,0.4,15,133,85,7
张家界,60,20,67,0.55,7,126,77,4
张家口,88,16,58,0.98,12,189,122,8
章丘,81,36,76,0.3,11,167,135,15
张掖,67,11,24,0.2,5,144,119,5
漳州,47,25,46,0.3,5,146,87,5
湛江,36,25,33,0.87,14,69,54,5
肇庆,49,33,48,1.3,30,64,37,11
昭通,46,16,44,0.5,11,144,71,8
招远,0,0,0,0.0,0,0,0,0
郑州,80,44,99,0.6,15,183,122,7
镇江,80,24,58,0.5,24,183,104,9
中山,42,24,41,0.68,24,84,41,4
中卫,76,33,65,0.47,6,138,129,9
周口,118,38,184,0.57,12,176,134,9
舟山,39,10,28,0.4,15,101,77,5
珠海,37,22,36,0.68,24,105,68,3
诸暨,49,20,28,0.4,6,133,96,3
驻马店,64,27,62,0.33,4,162,115,7
株洲,61,26,70,0.44,15,144,89,9
淄博,102,41,76,0.57,16,201,147,16
自贡,65,46,61,0.57,13,86,45,4
资阳,46,32,45,0.54,11,106,60,5
遵义,37,14,36,0.52,13,82,63,6
